p_soft,p_hard,p_ext,heterozygosity,b_w,d_w,b_m,d_m,wU,Kmax,n_simulations,n_sweeps
0.8733,0.1206,0.0061,0.312048064769,0.99,1.0,1.1,1.0,1.0,110000,10000,9939
0.756,0.178,0.066,0.402061903346,0.7,1.0,1.1,1.0,10.0,110000,1000,934
0.993,0.005,0.002,0.673595278953,0.9,1.0,1.1,1.0,10.0,110000,1000,998
0.031,0.413,0.556,0.012566498914,0.97,1.0,2.0,1.0,0.1,10000,1000,444
0.056,0.304,0.64,0.0167347224965,0.9,1.0,2.0,1.0,0.1,110000,1000,360
0.036,0.214,0.75,0.0417558224363,0.7,1.0,1.3,1.0,1.0,10000,1000,250
0.268,0.725,0.007,0.0387838178743,0.99,1.0,2.0,1.0,0.1,110000,1000,993
0.0,0.011,0.989,0.0,0.9,1.0,1.1,1.0,0.1,10000,1000,11
0.231,0.384,0.385,0.14940619784,0.7,1.0,1.1,1.0,10.0,10000,1000,615
0.205,0.367,0.428,0.134023105521,0.0,1.0,1.1,1.0,10.0,110000,1000,572
0.001,0.033,0.966,0.0119397943856,0.7,1.0,1.3,1.0,0.1,10000,1000,34
0.983,0.017,0.0,0.317471104502,0.97,1.0,2.0,1.0,1.0,110000,1000,1000
0.061,0.344,0.595,0.0306799137238,0.99,1.0,1.1,1.0,0.1,110000,1000,405
0.0,0.024,0.976,0.0,0.0,1.0,1.3,1.0,0.1,110000,1000,24
0.001,0.052,0.947,0.00803791707596,0.9,1.0,1.3,1.0,0.1,10000,1000,53
0.004,0.126,0.87,0.00294618747369,0.97,1.0,1.3,1.0,0.1,10000,1000,130
0.215,0.471,0.314,0.0741666951559,0.97,1.0,1.3,1.0,1.0,10000,1000,686
0.0,0.03,0.97,0.0,0.99,1.0,1.1,1.0,0.1,10000,1000,30
0.155,0.334,0.511,0.105321458129,0.7,1.0,1.3,1.0,1.0,110000,1000,489
1.0,0.0,0.0,0.866164750317,0.97,1.0,1.3,1.0,10.0,110000,1000,1000
1.0,0.0,0.0,0.87623361601,0.99,1.0,1.3,1.0,10.0,110000,1000,1000
0.998,0.002,0.0,0.678273759167,0.7,1.0,2.0,1.0,10.0,10000,1000,1000
0.671,0.226,0.103,0.343908311937,0.0,1.0,1.3,1.0,10.0,110000,1000,897
0.004,0.073,0.923,0.0204994710224,0.0,1.0,1.1,1.0,1.0,110000,1000,77
