p_soft,p_hard,p_ext,heterozygosity,b_w,d_w,b_m,d_m,wU,Kmax,n_simulations,n_sweeps
0.525,0.356,0.119,0.509060357725,0.9,1.0,2.0,1.0,1.0,10000,1000,881
0.011,0.17,0.819,0.0436573546327,0.9,1.0,1.3,1.0,0.1,110000,1000,181
0.047,0.261,0.692,0.148210906588,0.0,1.0,2.0,1.0,1.0,10000,1000,308
1.0,0.0,0.0,0.999998390516,0.9,1.0,2.0,1.0,10.0,10000,1000,1000
0.991,0.009,0.0,0.929976403134,0.99,1.0,2.0,1.0,1.0,110000,1000,1000
0.0,0.026,0.974,0.0,0.97,1.0,1.1,1.0,0.1,10000,1000,26
0.571,0.328,0.101,0.610004559112,0.97,1.0,1.1,1.0,10.0,10000,1000,899
1.0,0.0,0.0,1.0,0.99,1.0,1.1,1.0,10.0,110000,1000,1000
1.0,0.0,0.0,1.0,0.97,1.0,2.0,1.0,10.0,110000,1000,1000
0.002,0.089,0.909,0.0219778440633,0.7,1.0,2.0,1.0,0.1,10000,1000,91
0.072,0.417,0.511,0.103971464298,0.97,1.0,1.3,1.0,0.1,110000,1000,489
0.0,0.02,0.98,0.0,0.7,1.0,1.1,1.0,0.1,110000,1000,20
0.954,0.046,0.0,0.89250463573,0.97,1.0,1.3,1.0,1.0,110000,1000,1000
0.003,0.1,0.897,0.0291256679734,0.7,1.0,1.1,1.0,1.0,10000,1000,103
0.995,0.004,0.001,0.995786216961,0.7,1.0,1.3,1.0,10.0,110000,1000,999
0.695,0.299,0.006,0.633515047851,0.97,1.0,2.0,1.0,1.0,10000,1000,994
0.0,0.011,0.989,0.0,0.0,1.0,1.1,1.0,0.1,10000,1000,11
0.035,0.309,0.656,0.0886212805043,0.99,1.0,1.1,1.0,1.0,10000,1000,344
0.437,0.344,0.219,0.552065553092,0.0,1.0,1.3,1.0,10.0,10000,1000,781
0.955,0.032,0.013,0.964382205141,0.0,1.0,2.0,1.0,10.0,110000,1000,987
0.35,0.58,0.07,0.333778639236,0.99,1.0,1.3,1.0,1.0,10000,1000,930
0.89,0.085,0.025,0.905386244492,0.0,1.0,2.0,1.0,10.0,10000,1000,975
0.995,0.005,0.0,0.992889194431,0.97,1.0,1.3,1.0,10.0,10000,1000,1000
0.032,0.215,0.753,0.12783972503,0.7,1.0,1.1,1.0,1.0,110000,1000,247
1.0,0.0,0.0,0.999999999897,0.9,1.0,2.0,1.0,10.0,110000,1000,1000
0.0,0.011,0.989,0.0,0.7,1.0,1.1,1.0,0.1,10000,1000,11
0.474,0.331,0.195,0.502066663641,0.7,1.0,2.0,1.0,1.0,110000,1000,805
0.017,0.19,0.793,0.0675485008565,0.97,1.0,1.1,1.0,1.0,10000,1000,207
0.568,0.306,0.126,0.604663275138,0.97,1.0,1.1,1.0,1.0,110000,1000,874
0.7364,0.2636,0.0,0.685572811318,0.99,1.0,2.0,1.0,1.0,10000,10000,10000
1.0,0.0,0.0,0.999997757984,0.7,1.0,2.0,1.0,10.0,110000,1000,1000
0.079,0.266,0.655,0.21247020951,0.0,1.0,2.0,1.0,1.0,110000,1000,345
0.0,0.008,0.992,0.0,0.0,1.0,1.1,1.0,0.1,110000,1000,8
0.103,0.309,0.588,0.229033595398,0.9,1.0,1.3,1.0,1.0,10000,1000,412
0.001,0.065,0.934,0.0151515151515,0.0,1.0,1.1,1.0,1.0,10000,1000,66
1.0,0.0,0.0,0.99999922602,0.97,1.0,2.0,1.0,10.0,10000,1000,1000
1.0,0.0,0.0,0.999999999997,0.97,1.0,1.1,1.0,10.0,110000,1000,1000
0.001,0.072,0.927,0.013698630137,0.7,1.0,1.3,1.0,0.1,110000,1000,73
0.0,0.017,0.983,0.0,0.0,1.0,1.3,1.0,0.1,10000,1000,17
0.221,0.644,0.135,0.194058999891,0.99,1.0,1.3,1.0,0.1,110000,1000,865
0.009,0.195,0.796,0.0338495936287,0.9,1.0,2.0,1.0,0.1,10000,1000,204
0.022,0.181,0.797,0.106792249782,0.0,1.0,1.3,1.0,1.0,110000,1000,203
0.003,0.057,0.94,0.0475992987938,0.9,1.0,1.1,1.0,0.1,110000,1000,60
0.01,0.138,0.852,0.0674615909732,0.0,1.0,1.3,1.0,1.0,10000,1000,148
0.098,0.334,0.568,0.219273433368,0.0,1.0,1.1,1.0,10.0,10000,1000,432
0.223,0.599,0.178,0.15529430484,0.97,1.0,2.0,1.0,0.1,110000,1000,822
1.0,0.0,0.0,0.999999999998,0.9,1.0,1.3,1.0,10.0,110000,1000,1000
0.006,0.139,0.855,0.0413793102569,0.9,1.0,1.1,1.0,1.0,10000,1000,145
0.353,0.395,0.252,0.462740926584,0.9,1.0,1.1,1.0,10.0,10000,1000,748
0.07,0.726,0.204,0.0780560998397,0.99,1.0,2.0,1.0,0.1,10000,1000,796
0.206,0.388,0.406,0.31636492818,0.7,1.0,2.0,1.0,1.0,10000,1000,594
0.165,0.361,0.474,0.302298171838,0.9,1.0,1.1,1.0,1.0,110000,1000,526
0.962,0.034,0.004,0.953347139202,0.9,1.0,1.3,1.0,10.0,10000,1000,996
0.001,0.051,0.948,0.00838572783953,0.0,1.0,2.0,1.0,0.1,110000,1000,52
0.012,0.142,0.846,0.0600222660247,0.7,1.0,2.0,1.0,0.1,110000,1000,154
0.583,0.266,0.151,0.624681135085,0.9,1.0,1.3,1.0,1.0,110000,1000,849
0.817,0.148,0.035,0.840868307365,0.7,1.0,1.3,1.0,10.0,10000,1000,965
0.753,0.228,0.019,0.713390920145,0.99,1.0,1.1,1.0,10.0,10000,1000,981
1.0,0.0,0.0,1.0,0.99,1.0,2.0,1.0,10.0,110000,1000,1000
0.983,0.017,0.0,0.94766872174,0.99,1.0,1.3,1.0,1.0,110000,1000,1000
1.0,0.0,0.0,0.999999999874,0.99,1.0,2.0,1.0,10.0,10000,1000,1000
0.891,0.097,0.012,0.781492166472,0.9,1.0,2.0,1.0,1.0,110000,1000,988
0.015,0.177,0.808,0.0750171685823,0.97,1.0,1.1,1.0,0.1,110000,1000,192
0.004,0.262,0.734,0.0150354011218,0.99,1.0,1.3,1.0,0.1,10000,1000,266
0.992,0.008,0.0,0.982011899757,0.99,1.0,1.3,1.0,10.0,10000,1000,1000
0.002,0.035,0.963,0.0486423176253,0.0,1.0,2.0,1.0,0.1,10000,1000,37
0.8733,0.1206,0.0061,0.822267557237,0.99,1.0,1.1,1.0,1.0,110000,10000,9939
0.756,0.178,0.066,0.803916125052,0.7,1.0,1.1,1.0,10.0,110000,1000,934
0.993,0.005,0.002,0.99419449864,0.9,1.0,1.1,1.0,10.0,110000,1000,998
0.031,0.413,0.556,0.0557923072415,0.97,1.0,2.0,1.0,0.1,10000,1000,444
0.056,0.304,0.64,0.0934751191187,0.9,1.0,2.0,1.0,0.1,110000,1000,360
0.036,0.214,0.75,0.134870988484,0.7,1.0,1.3,1.0,1.0,10000,1000,250
0.268,0.725,0.007,0.1694998831,0.99,1.0,2.0,1.0,0.1,110000,1000,993
0.0,0.011,0.989,0.0,0.9,1.0,1.1,1.0,0.1,10000,1000,11
0.231,0.384,0.385,0.372342149659,0.7,1.0,1.1,1.0,10.0,10000,1000,615
0.205,0.367,0.428,0.35497149339,0.0,1.0,1.1,1.0,10.0,110000,1000,572
0.001,0.033,0.966,0.0294117647059,0.7,1.0,1.3,1.0,0.1,10000,1000,34
0.983,0.017,0.0,0.89840036168,0.97,1.0,2.0,1.0,1.0,110000,1000,1000
0.061,0.344,0.595,0.121001526591,0.99,1.0,1.1,1.0,0.1,110000,1000,405
0.0,0.024,0.976,0.0,0.0,1.0,1.3,1.0,0.1,110000,1000,24
0.001,0.052,0.947,0.0188679245283,0.9,1.0,1.3,1.0,0.1,10000,1000,53
0.004,0.126,0.87,0.0166228692843,0.97,1.0,1.3,1.0,0.1,10000,1000,130
0.215,0.471,0.314,0.271639105003,0.97,1.0,1.3,1.0,1.0,10000,1000,686
0.0,0.03,0.97,0.0,0.99,1.0,1.1,1.0,0.1,10000,1000,30
0.155,0.334,0.511,0.305902059503,0.7,1.0,1.3,1.0,1.0,110000,1000,489
1.0,0.0,0.0,1.0,0.97,1.0,1.3,1.0,10.0,110000,1000,1000
1.0,0.0,0.0,1.0,0.99,1.0,1.3,1.0,10.0,110000,1000,1000
0.998,0.002,0.0,0.995695267824,0.7,1.0,2.0,1.0,10.0,10000,1000,1000
0.671,0.226,0.103,0.737760960073,0.0,1.0,1.3,1.0,10.0,110000,1000,897
0.004,0.073,0.923,0.0519478801482,0.0,1.0,1.1,1.0,1.0,110000,1000,77
