t_1,t_2
10.155105904,25.883334322
1.71702511331,NA
20.6663533697,28.0162702236
29.0235591684,136.712040393
3.67142372728,6.49328435235
23.9902982805,34.0034503297
28.8044713808,33.8263081519
2.46354630452,44.1204748888
6.79577781949,9.20592905143
44.0028417534,58.1371029872
2.03920228234,45.6552405608
25.9411157792,44.2071992081
52.986238175,64.4837209184
7.76509035346,21.5242903354
76.0244538604,76.5770477313
12.9512478562,18.0301105729
3.49696268667,44.1485358092
43.91749751,NA
12.6059666322,151.790385662
44.8598948192,126.973689691
52.6516691649,65.2393087409
29.3031809585,32.431122916
15.8336292386,35.7356048028
113.673785138,115.673799549
8.10437897507,33.5399409816
23.4346526048,NA
5.50084047589,16.9240831248
32.7110205528,54.0374423198
45.0471896418,101.91889645
72.8575393508,88.6339287282
8.75063129299,NA
17.0771745644,31.0063523834
83.330138498,83.9045025762
45.7285796858,91.5052209094
25.9927964953,141.352247974
71.5585204712,72.1169453411
73.3911955201,110.061900281
11.6098508368,17.1597230575
23.3509436527,NA
14.2569490111,20.6906240031
10.9654775753,23.3534146621
61.9298994535,64.5822415494
71.6459966632,71.8885819071
48.4720913336,50.5126023788
57.5637977827,152.318892831
3.91583396936,23.6429836121
27.049722652,NA
54.507751669,73.2006275323
9.95502693757,22.3060085391
26.0177710595,77.3559106379
3.14711748511,32.4478412403
9.43722819876,76.6877199228
65.9664767635,NA
48.4969743422,67.1686322906
4.23527004239,50.6363723909
9.85442486024,23.7797225554
12.2482228428,34.1567533657
53.4793694386,77.9354843576
81.3243145464,135.361732027
4.93003418845,35.9405238153
32.7868750127,94.9725272111
139.016601708,NA
21.6078253882,90.6155023863
6.5453612573,30.6699784032
30.2224586491,32.5150151811
31.0465841479,39.3480121611
48.9677901186,97.6773501386
30.5132390588,42.8771890663
64.1464219783,161.454961347
191.796763764,NA
16.9008292844,NA
130.926226639,NA
5.63233992379,40.6772099373
54.8074965561,NA
33.8368408698,92.7637984132
65.0587646556,79.1592962235
60.1000036836,74.8359066336
100.70429565,NA
17.360508989,63.8017676492
50.1690174262,95.0131380999
0.305589584284,112.57306228
17.4481168511,52.8461058375
36.198695339,57.7289345565
55.7383873365,74.8438372026
23.4448294651,45.0510041402
84.3449211272,239.251509022
24.6051547691,52.4341806113
35.637197812,73.6894823704
35.4896956496,46.2557812355
44.2189034848,172.341473419
42.431111745,NA
70.9878068898,86.6722729816
34.077310411,53.6915663177
72.4978469617,93.4569631951
54.7166128832,70.4723611699
26.344719807,NA
40.3261625744,56.1392783282
24.0441640597,26.5150568714
19.2688069631,75.3070192991
1.93869463629,60.1855245684
14.7108928115,18.9747368346
78.8903930361,131.368899501
55.9463711166,80.3246806166
3.59045306697,89.312576391
77.1735671851,84.6403869672
33.8550272793,36.8159490016
16.7024288201,20.9705289291
66.5841756929,130.122114152
95.4106799048,197.081478103
79.7553005562,83.8078310716
35.4230369304,48.1810693297
2.56517734269,47.6662832905
47.1501920845,NA
9.00187885619,104.655720387
43.8239264722,81.4955701594
28.7507374097,30.4054082213
11.1570916428,NA
10.6013533116,54.7300711699
2.57170134901,135.498567232
38.6406440575,379.445360174
6.34826121809,52.2651574534
5.4158097457,66.7984574285
0.220269076548,26.2217266241
43.777269782,135.569064267
16.3850572119,56.1540335576
65.8970116724,67.2560504307
16.0277503988,36.4448715799
36.1969832009,110.168223208
9.06243335043,30.702196941
10.4063970779,51.1224748564
31.3703415992,47.8489896684
38.0956855799,40.5159502298
90.6683469979,95.7951602747
28.952038197,55.9476184016
40.3319620299,75.7362585476
52.7936065918,NA
10.5007453833,56.9313726783
7.77610243289,9.05310088772
37.449758931,55.086475538
30.7125724671,81.9629333509
4.27229866739,41.8299863876
77.3930389281,105.930311857
0.296473295368,23.1905608386
48.8647633116,58.1514833036
27.4525061757,92.5495837699
26.5938029188,50.8460486598
23.7586570046,41.2373126281
3.0835736977,79.9245507648
37.1670821705,64.132792602
9.81166023619,19.1320225714
11.134832045,175.233285739
10.4241125118,68.5031667463
84.0994296559,NA
143.643460997,152.61077178
50.5977534108,92.7007729949
10.1312803436,17.6550343699
82.7854322405,134.344238837
36.7478127045,NA
22.9126977312,31.9032292538
25.5469599445,43.5402914851
11.6257708096,55.458092091
90.8018479022,126.914622858
2.24142075967,15.1686601806
24.3563260904,42.5672870809
16.2984449449,45.9060927514
36.6966013307,NA
13.7425554914,45.5562966822
37.3897883172,63.384217702
11.8414917543,215.251072071
8.0243333623,NA
68.6907177403,NA
72.6031118194,90.2396316742
30.033617932,65.3685826723
82.9158238346,127.949171917
6.16086415089,40.6597810961
42.2054541536,62.9902308657
6.52134631825,34.16181576
29.1743091934,33.6201331323
41.8187429246,NA
3.61300820861,76.9171960055
40.8828658794,93.6276465517
8.12375040309,13.8351452257
28.4728101071,42.6355195848
25.4298480092,45.6323559695
20.344514561,273.429585908
17.1380896821,46.5324629005
20.9428961591,84.1428789658
2.6441606523,68.1502697436
8.67254741881,77.9732391348
130.12144357,160.47806646
10.4320028732,18.5246089642
91.100988158,112.440404383
98.4881927114,108.528021739
13.8293830257,28.8371926911
35.375310993,45.715716921
32.1084736918,73.0254306924
15.1973826768,40.5661571093
15.9280546006,18.7289790208
77.6211577889,109.45815283
51.982679651,82.9382450058
9.85724545983,67.7466086479
2.14739588748,22.2516241819
26.8619469208,NA
13.4699171718,37.6694007577
