p_soft,p_hard,p_ext,heterozygosity,b_w,d_w,b_m,d_m,wU,Kmax,n_simulations,n_sweeps
0.8733,0.1206,0.0061,0.669819963555,0.99,1.0,1.1,1.0,1.0,110000,10000,9939
0.756,0.178,0.066,0.746551688004,0.7,1.0,1.1,1.0,10.0,110000,1000,934
0.993,0.005,0.002,0.979015659462,0.9,1.0,1.1,1.0,10.0,110000,1000,998
0.031,0.413,0.556,0.0348722192796,0.97,1.0,2.0,1.0,0.1,10000,1000,444
0.056,0.304,0.64,0.050205860885,0.9,1.0,2.0,1.0,0.1,110000,1000,360
0.036,0.214,0.75,0.103749523963,0.7,1.0,1.3,1.0,1.0,10000,1000,250
0.268,0.725,0.007,0.104114101096,0.99,1.0,2.0,1.0,0.1,110000,1000,993
0.0,0.011,0.989,0.0,0.9,1.0,1.1,1.0,0.1,10000,1000,11
0.231,0.384,0.385,0.332327826971,0.7,1.0,1.1,1.0,10.0,10000,1000,615
0.205,0.367,0.428,0.305921858223,0.0,1.0,1.1,1.0,10.0,110000,1000,572
0.001,0.033,0.966,0.0283577706503,0.7,1.0,1.3,1.0,0.1,10000,1000,34
0.983,0.017,0.0,0.69583543658,0.97,1.0,2.0,1.0,1.0,110000,1000,1000
0.061,0.344,0.595,0.0807459321533,0.99,1.0,1.1,1.0,0.1,110000,1000,405
0.0,0.024,0.976,0.0,0.0,1.0,1.3,1.0,0.1,110000,1000,24
0.001,0.052,0.947,0.0183903322935,0.9,1.0,1.3,1.0,0.1,10000,1000,53
0.004,0.126,0.87,0.00910210142728,0.97,1.0,1.3,1.0,0.1,10000,1000,130
0.215,0.471,0.314,0.194179191528,0.97,1.0,1.3,1.0,1.0,10000,1000,686
0.0,0.03,0.97,0.0,0.99,1.0,1.1,1.0,0.1,10000,1000,30
0.155,0.334,0.511,0.250819560868,0.7,1.0,1.3,1.0,1.0,110000,1000,489
1.0,0.0,0.0,0.999874000136,0.97,1.0,1.3,1.0,10.0,110000,1000,1000
1.0,0.0,0.0,0.999940569535,0.99,1.0,1.3,1.0,10.0,110000,1000,1000
0.998,0.002,0.0,0.980095177356,0.7,1.0,2.0,1.0,10.0,10000,1000,1000
0.671,0.226,0.103,0.669523507418,0.0,1.0,1.3,1.0,10.0,110000,1000,897
0.004,0.073,0.923,0.0472328884799,0.0,1.0,1.1,1.0,1.0,110000,1000,77
